sws_id,precipitation,rainfall,snowfall,snowmelt,air_pressure,air_temperature,relative_humidity,wind_speed,potential_evaporation
4683651,947.76184,519.4608,428.30103,429.02484,96.83615,5.4905324,0.75882334,1.5302981,892.19653
4778802,938.87744,524.0202,414.85727,414.38858,97.18746,5.4847493,0.76095176,1.5568683,883.5704
4658307,964.1987,509.26926,454.9295,455.74246,96.87758,5.513685,0.75989276,1.6533036,907.9699
4608733,943.8259,518.7071,425.1188,427.27567,96.866516,5.465717,0.7599082,1.5349742,886.5219
4667266,1013.37195,575.51575,437.85623,438.75845,97.707596,5.8907275,0.7768278,2.7780492,920.7072
4777868,967.3899,522.241,445.1489,446.2703,97.42833,5.7057905,0.7685086,2.1774445,923.30835
4663229,963.8238,518.46564,445.35815,445.67044,97.00869,5.56612,0.7599605,1.7131367,915.8988
4942805,968.6666,524.33453,444.33206,444.68115,97.42345,5.751927,0.7702962,2.2897995,923.83624
4618400,960.58466,504.72598,455.85867,457.86002,96.82765,5.535417,0.7586514,1.6221117,909.5494
4582983,965.78235,508.9596,456.82272,458.3753,97.15882,5.657862,0.764889,1.9931995,923.879
4868923,928.2201,519.5383,408.68176,409.69785,97.35527,5.5414915,0.7611974,1.5923843,889.11536
4637363,991.3326,561.41437,429.9182,432.5024,97.5948,5.909193,0.77707,2.7667372,920.4269
4857491,991.8674,561.21216,430.6552,433.44794,97.58133,5.878948,0.7762701,2.6816955,920.2643
4712507,973.9757,539.01196,434.9637,435.68887,97.47356,5.86502,0.7754665,2.6214647,921.0778
4713957,923.53345,556.37756,367.1559,367.5273,97.29683,5.568712,0.76117563,1.6097667,892.99774
4813532,949.48145,526.41754,423.0639,423.82895,96.862045,5.5161924,0.75785226,1.5360097,899.0947
4602645,971.76013,539.04926,432.71088,434.0676,97.5456,5.8376584,0.7738713,2.5183537,922.7106
4977272,987.28467,556.9926,430.29202,433.58713,97.78779,6.012937,0.7782611,2.9321494,923.09735
4837136,1012.4596,512.14557,500.31406,501.55765,97.81792,5.925458,0.7763427,2.8350017,924.51215
4803117,967.3797,522.5129,444.86682,446.5815,97.097824,5.6300592,0.7613403,1.831448,923.751
4857929,967.4856,517.99646,449.4891,452.04498,97.40236,5.714474,0.7666691,2.112559,926.58215
4777429,991.3541,563.6248,427.7293,429.99942,97.61417,5.9593,0.777491,2.8198478,921.8619
5063440,957.5729,510.1712,447.4017,449.34555,96.91977,5.541738,0.75782394,1.5890582,908.6152
4948866,937.8899,527.1633,410.72653,411.94318,97.380165,5.5785675,0.7583047,1.5431336,896.5363
4928061,965.39746,513.49005,451.9074,453.28723,97.171135,5.6768785,0.76267326,1.9260181,927.7542
5063479,958.52686,515.8974,442.62943,443.6863,97.048164,5.5480566,0.75722444,1.5644319,907.67926
4892240,1003.8104,574.19135,429.61905,432.4486,97.77571,5.9466314,0.7774579,2.8507714,922.0306
4993785,939.4379,519.94635,419.49158,420.14954,97.24425,5.5358973,0.75876004,1.5344064,892.3007
4882715,975.2001,542.95886,432.2412,434.23517,97.584175,5.828163,0.77262414,2.453082,924.62476
5157621,972.307,540.3597,431.94733,430.14767,97.4884,5.939567,0.77523416,2.6635587,925.71796
5234513,898.5596,540.5323,358.0273,358.1258,97.67754,5.8974867,0.76002043,1.952821,982.077
4957154,1011.4453,504.87442,506.57086,505.581,97.85382,6.001028,0.77720594,2.9450428,926.46765
5048734,944.4187,522.231,422.18765,423.65314,97.11818,5.545137,0.75763535,1.5203956,896.51306
4998650,947.921,517.42084,430.50018,430.6603,96.88583,5.5580544,0.7565954,1.5203971,902.9137
5058202,963.52576,522.86523,440.6605,440.75284,97.068665,5.658819,0.75999594,1.8076496,927.5973
4992772,966.53406,536.0222,430.51184,431.9652,97.50469,5.8466806,0.770167,2.3646574,930.67645
5087186,1011.5414,507.46887,504.07254,503.352,97.87779,6.020135,0.77782243,2.9691846,925.47314
4803290,963.7403,514.61304,449.12726,449.8736,96.849,5.607909,0.7578415,1.6700888,920.6617
5129547,894.77814,531.8555,362.9226,362.14856,97.663895,5.9327006,0.7596033,1.9822527,992.58984
5147989,965.099,517.788,447.311,447.79608,97.23611,5.7359424,0.76404667,2.0315208,931.8873
5233377,957.6584,507.58728,450.0711,451.96262,96.939095,5.628966,0.7560046,1.6153913,922.1919
5097876,967.246,521.15216,446.09378,447.22906,97.45758,5.790767,0.76778054,2.22219,930.8879
