LOC_ID,INT_ID,LOC_NAME,LOC_NAME_ALT1,SCREEN_NAME,LAT,LONG,Z,FORMATION,SCREEN_DIAMETER_CM,SCREEN_TOP_DEPTH_M,WL_AVG_MASL,WL_AVG_TOTAL_NUM,WL_START_DATE_MDY,WL_END_DATE_MDY
49664,49664,Cheltenham PW 2,Peel - Cheltenham - PW 2,Cheltenham PW 2,43.74769939779605,-79.91597153617377,286.79998779296875,Bedrock - Undifferentiated (ORMGP),30.479999542236328,147.0,262.4005126953125,1133,03/30/1995,06/29/2023
-168781042,604869651,Caledon East DP 21-06,Peel - Caledon East - DP 21-06 (Stantec),Caledon East DP21-06d,43.8706938466833,-79.85987927075765,284.5,Mackinaw/Oak Ridges (ORMGP),3.200000047683716,2.5,285.9633483886719,88622,09/20/2006,11/21/2012
-168781042,-473183215,Caledon East DP 21-06,Peel - Caledon East - DP 21-06 (Stantec),Caledon East DP21-06s,43.8706938466833,-79.85987927075765,284.5,Mackinaw/Oak Ridges (ORMGP),3.200000047683716,0.910003662109375,284.4446105957031,111606,09/20/2006,06/22/2023
240723511,240711860,PGMN - HRCA - W0000008-1,HRCA - Mountsberg (PGMN),PGMN - HRCA - W0000008-1,43.46358533776053,-80.03700697095188,300.4988098144531,,15.239999771118164,,298.1056213378906,153193,03/01/2001,03/16/2020
1000042803,1000019228,GAL-West Vaughan-BH-15-168,,BH-15-168,43.80500782036423,-79.65203641234976,192.29049682617188,Lower Newmarket (ORMGP),,27.937973022460938,189.56027221679688,52038,06/23/2016,10/18/2021
1000066989,1000030662,GAL-West Vaughan-BH-15-035,,BH-15-35,43.777770422787526,-79.59988658868613,162.49510192871094,Bedrock - Undifferentiated (ORMGP),,36.27000427246094,158.08302307128906,52039,08/12/2015,10/18/2021
1000185228,1003526748,GAL-West Vaughan-BH-15-163,,BH-15-163,43.76413412457849,-79.57942629728986,134.25900268554688,Lower Newmarket (ORMGP),,12.802000045776367,133.9661102294922,57117,08/19/2016,10/18/2021
-2147483035,-2147483167,Cheltenham DPDd,Peel - Cheltenham - DPDd,Cheltenham DPDd,43.75077723239176,-79.92147681652607,282.1199951171875,Newmarket Till/Northern Till,,3.8000030517578125,282.2307434082031,68,12/22/2004,11/28/2017
360000001,360000001,Alton DP 4R-10,Peel - Alton - DP 4R-10,Alton DP 4R-10,43.86406424539376,-80.06584461664269,392.07000732421875,Halton Till,3.799999952316284,0.29998779296875,391.8627014160156,29467,04/15/2011,06/22/2023
2072960175,-1011814931,Caledon Village EW C4-2,Peel - Caledon Village EW C4-2,Caledon Village EW C4-2,43.864338289768135,-80.04965904902446,400.82000732421875,Mackinaw/Oak Ridges (ORMGP),,30.20001220703125,392.5641784667969,46358,01/09/2014,06/20/2023
1000196643,1000193078,Inspec-Sol BH26-12(MW),York UYSS MW26-12,York UYSS MW26-12,44.036157170848334,-79.45905960396831,244.55999755859375,Channel - Silt (ORMGP),5.079999923706055,10.699999809265137,244.02748107910156,25204,11/14/2017,04/23/2019
1000201207,1000199972,Newmarket MW 35 (Inspec-Sol BH 17-12),York - Newmarket MW 35 (York UYSS MW 17-12),York UYSS MW17-12,44.0484771409385,-79.45611875992776,242.7899932861328,Mackinaw/Oak Ridges (ORMGP),,9.149999618530273,241.49603271484375,94724,11/15/2017,03/30/2022
-2147483421,-2147483521,Palgrave TW1-07s,Peel - Palgrave - TW 1R-07s,Palgrave TW 1R-07s,43.95865188586516,-79.8421410082157,287.8800048828125,Mackinaw/Oak Ridges (ORMGP),7.599999904632568,39.0,279.1373291015625,157903,09/09/2007,06/22/2023
-2147483416,-2147483516,Palgrave DP 3-02,Peel - Palgrave - DP 3-02,Palgrave DP 3-02,43.95500674289892,-79.81939142022337,283.3500061035156,Halton Till,3.799999952316284,0.470001220703125,283.2036437988281,10836,12/21/2004,06/22/2023
-908243298,-573033750,Caledon East DP 24-06,Peel - Caledon East - DP 24-06 (Stantec),Caledon East DP24-06s,43.87223413221477,-79.86080453204579,287.8299865722656,Mackinaw/Oak Ridges (ORMGP),3.200000047683716,0.980010986328125,287.6780090332031,167765,09/20/2006,06/21/2023
-908243298,-1572842181,Caledon East DP 24-06,Peel - Caledon East - DP 24-06 (Stantec),Caledon East DP24-06d,43.87223413221477,-79.86080453204579,287.8299865722656,Mackinaw/Oak Ridges (ORMGP),3.200000047683716,2.540008544921875,287.56829833984375,102019,09/20/2006,06/21/2023
