"INT_ID","LOC_ID","LOC_NAME","LOC_NAME_ALT1","SCREEN_NAME","LAT","LONG","Z","FORMATION","SCREEN_DIAMETER_CM","SCREEN_TOP_DEPTH_M","WL_AVG_MASL","WL_AVG_TOTAL_NUM","WL_START_DATE_MDY","WL_END_DATE_MDY","nValues","MannKendall10yrTau","MannKendall10yrPstat","MannKendall10yrText","GAMrange"
1631846731,1631846731,"Cannington OW 99/4D","Durham - Cannington - OW 99-4D","Cannington-OW99-4D",44.349552154541,-79.0327758789062,256.404998779297,"Bedrock - Undifferentiated (ORMGP)",5,7.19999694824219,255.562301635742,99158,"02/15/2001","12/31/2021",6112,0.0697029702970297,0.303054221694039,"MK no trend",0.880989981601558
1639609757,-1566415568,"PGMN - NVCA - W0000323","NVCA - Bradford West - MW 1/03 (D I & S) (PGMN)","PGMN - NVCA - W0000323-3",44.1616096496582,-79.6415252685547,270.025085449219,"Upper Newmarket (ORMGP)",5.07999992370605,28.9559936523438,255.58740234375,114233,"05/21/2003","11/08/2022",4729,0.0174216027874564,0.879405060346173,"MK no trend",0.667766077736167
1642323910,1642323910,"Greenbank SW 4-05","Durham - Greenbank - SW05-4","Greenbank-SW05-4",44.1481513977051,-79.0118026733398,278.105987548828,"Inter Newmarket Sediment (ORMGP)",5.07999992370605,18.2879943847656,275.010833740234,65728,"05/05/2006","12/31/2021",3768,-0.148118811881188,0.0283902792563482,"MK decreasing trend",0.655971444354173
1643124617,-804130912,"Palgrave MP2-01(A)","Peel - Palgrave - MP 2-01(A)","Palgrave MP2-01(A)",43.955867767334,-79.8447875976562,274.640014648438,"Halton Till",NA,2.780029296875,274.516662597656,69699,"01/27/2005","10/29/2019",875,-0.214285714285714,0.536186771900174,"MK no trend",0.102796486919192
1655513836,120000005,"Aurora MW 20","York - Aurora - MW #20","Aurora MW 20d",44.0185241699219,-79.4688720703125,248.455932617188,"Thorncliffe (ORMGP)",7.61999988555908,80.5,239.725631713867,220278,"06/06/2013","03/30/2022",3209,0.298356982823002,7.27247398035757e-06,"MK increasing trend",1.52153987892164
1658877780,1797776308,"Nobleton MW 5","York - Nobleton - MW 5","Nobleton MW 5",43.8981170654297,-79.6520004272461,260.326995849609,"Scarborough (ORMGP)",7.61999988555908,94.8000030517578,239.934509277344,340560,"09/19/2006","06/03/2022",5544,-0.520911127707244,4.66293670342566e-15,"MK decreasing trend",2.57752081827232
1664125785,2081122232,"Nobleton MW 1D","York - Nobleton - MW 1 Deep (MW F1D-06) (MMM)","Nobleton MW 1d",43.9007148742676,-79.6584777832031,268.968994140625,"Scarborough (ORMGP)",13.9700002670288,103.639999389648,240.509338378906,287098,"09/19/2006","06/03/2022",5368,-0.500264503614883,2.26485497023532e-14,"MK decreasing trend",2.35310467960112
1666919316,1171467518,"Nobleton MW 6 (TW NB1-2006)","York - Nobleton - MW 6 - TW NB1d-06 (MMM) - pilot hole","Nobleton MW 6",43.8980369567871,-79.6530456542969,260.790985107422,"Scarborough (ORMGP)",15.2399997711182,96.6000061035156,239.937362670898,343670,"09/19/2006","06/03/2022",5617,-0.520366778345971,1.99840144432528e-15,"MK decreasing trend",2.51124919787982
1725408127,1725378102,"Schomberg MW 09 (04-4)","York - Schomberg - MW 9 - SCH 04-4 (MMM)","Schomberg MW 9 (04-4)",44.0030288696289,-79.6847763061523,226.934997558594,"Upper Newmarket (ORMGP)",3.1800000667572,4.94999694824219,224.033386230469,414706,"05/07/2004","03/09/2022",5945,-0.0592105263157895,0.394520678366552,"MK no trend",1.14522879713126
1725697118,134819,"REG 1-94","RG 1-94 (UofT)","1/94-1",43.8595962524414,-79.1345748901367,160.1787109375,"Thorncliffe (ORMGP)",5.07999992370605,42.3000030517578,139.118743896484,158107,"09/19/1994","07/27/2023",6438,-0.364389697648376,1.71597052345263e-07,"MK decreasing trend",0.363845890197715
