CNT,INT_ID,LAT,LOC_ID,LOC_NAME,LOC_NAME_ALT1,LONG,QUAL,SW_DRAINAGE_AREA_KM2,YRb,YRe,LOC_MASTER_LOC_ID,meanQ,k,BFI
11586,148484,43.88887405395508,149301,02HD013,HARMONY CK - AT OSHAWA,-78.82494354248047,0.975909703504043,42.869998931884766,1980,2012,,0.46100906274303427,0.8316038500970093,0.3392510482431137
4453,148485,43.88835144042969,149302,02HD014,FAREWELL CK - AT OSHAWA,-78.82110595703125,0.9378685762426281,58.5,1980,1993,,0.7186476518686538,0.883835866034606,0.4361103805324366
7546,177268171,44.05980682373047,177268171,02HD018,PROCTORS CK NEAR BRIGHTON,-77.74446868896484,0.993025398078694,16.760000228881836,2002,2023,,0.19119305692329744,0.9336209264937083,0.6397939897338232
5817,360000441,43.454856872558594,360000451,02HB032,MOUNTSBERG CK BELOW MOUNTSBERG RESERVOIR,-80.04582977294922,0.9316143497757841,35.630001068115234,2006,2023,,0.44577844636453906,0.9816179077956895,0.8223082956606614
6190,397361517,43.826602935791016,2147456348,02HC056,DON RIVER EAST BRANCH NEAR THORNHILL,-79.4380874633789,0.9913516976297241,37.310001373291016,2006,2023,2147456348.0,0.4926785650340999,0.9339235947976949,0.609981203766865
7378,497363044,43.925655364990234,497363044,02HC053,LITTLE ROUGE CK NEAR DICKSONS HILL,-79.28219604492188,0.9600520494469741,58.9900016784668,2002,2023,,0.7336866780428933,0.8799513742214576,0.48394077264219443
6780,582178098,43.93193817138672,582178098,02HC055,LYNDE CK TRIBUTARY NEAR KINSALE,-78.98847198486328,0.8832725377800931,37.599998474121094,2002,2023,,0.4823160295534967,0.9221799456705156,0.4889275473146107
3957,730800029,43.3349,730800009,02HB028,GRINDSTONE CK NEAR MILLGROVE,-79.9491,0.999242424242424,36.79999923706055,2006,2017,,0.3174169825652757,0.9167249168898713,0.6625675911575241
7682,731100000,43.814382264695915,731100000,FLO_RT_East Credit R at Hwy 10,740,-79.92861371653034,1.0,49.486,2002,2023,,0.5927156764020712,0.9474972885245527,0.7182907304193149
7890,731100001,43.7952302712403,731100001,FLO_RT_West Credit R at Belfountain CA,710,-80.01225005906207,1.0,99.66,2001,2023,,1.317064439110956,0.9323009966534632,0.7547458944039469
6970,731100007,43.66847548230527,731100007,FLO_RT_Credit R at Glen Williams,495,-79.9270413226732,1.0,482.847,2004,2023,,5.994310042479209,0.937700321307283,0.7194689925264885
4304,731100013,43.69413981317657,731100013,FLO_RT_Fletchers Ck at Hwy 7,120,-79.80098192836361,1.0,18.303,2011,2022,,0.2190732248705345,0.9501633099353791,0.49389864477404016
3442,731100015,43.53152350885892,731100015,FLO_RT_Loyalist Ck at 5th Line,240,-79.66190022804174,1.0,6.93,2013,2023,,,,
4746,731100016,43.9340686663374,731100016,FLO_RT_Monora Ck at Cemetery Rd,600,-80.09634168391489,0.999368288060644,11.432,2010,2023,,-6395432.084627334,0.9589034415909383,1.5806151222969336
3424,731100017,43.60179331001094,731100017,FLO_RT_Mullet Ck at Century Ave,270,-79.75120036793032,1.0,8.776,2013,2023,,0.08921333512898458,0.8719694495778169,0.2354521789743695
3800,731100019,43.58166233874709,731100019,FLO_RT_Serson Ck at Serson Park,140,-79.56141744834994,1.0,1.109,2012,2023,,0.017350752116206684,0.9049839658573756,0.39088861137635794
3426,731100021,43.51492618856515,731100021,FLO_RT_Sheridan Ck at Truscott Dr,220,-79.64561394057662,1.0,5.896,2013,2023,,0.16394743119276353,0.9055433776722024,0.41446432466131805
3800,731100023,43.517317164533345,731100023,FLO_RT_Turtle Ck at Hindhead Park,160,-79.63316290668021,1.0,0.79,2012,2023,,0.020449504895173425,0.9350032859130718,0.47460425545216733
3601,731100024,43.77432066982527,731100024,FLO_RT_West Credit R at 10th Line,80,-80.04583325937986,1.0,87.121,2013,2023,,0.9944666197166574,0.9461561159863036,0.7638075866702586
5826,768951087,43.79022216796875,2147456347,02HB031,CREDIT RIVER ERIN BRANCH AT HILLSBURGH,-80.1434326171875,0.933055733504163,12.5,2006,2023,2147456347.0,0.1651103485926088,0.9807677065991505,0.9007408294446948
6134,801300149,44.005714416503906,2147456352,02HD021,WILMOT CREEK NEAR LESKARD,-78.64232635498047,0.9853815261044171,25.100000381469727,2006,2023,2147456352.0,0.4100295077021863,0.9765927377795269,0.8762540979566631
6157,954208305,43.5822868347168,2147456345,02HB029,CREDIT RIVER AT STREETSVILLE,-79.70874786376953,0.9863825696892021,774.239990234375,2006,2023,2147456345.0,8.959032974576958,0.9214023934135864,0.6719676829752639
20924,972878877,43.30052947998047,972878877,02HB012,GRINDSTONE CK NEAR ALDERSHOT,-79.86888885498047,0.9951488633120891,82.5999984741211,1965,2023,,0.8259877177688681,0.9207187768851045,0.5779475757222139
4282,1000001256,43.85530471801758,1000001110,HY013,Carruthers at Achilles,-79.00309753417969,0.745733194009056,28.282499313354492,2007,2023,,0.34627509262105155,0.8913075135881148,0.41389894461579746
5970,1000003530,43.73969650268555,1000001477,HY018,Don R - at Knightswood,-79.39100646972656,1.0,90.3499984741211,2007,2023,,1.264216022206173,0.9153816662181479,0.47322461673461413
5619,1000006904,43.94973373413086,1000002590,HY023,East Duffins at Claremont,-79.08088684082031,0.719554360353438,62.119998931884766,2001,2023,,1.3149848863320706,0.9696375097205115,0.7101046311372226
4669,1000007062,43.86662292480469,1000003937,HY028,Ganetsekiagon Creek,-79.08570098876953,0.674710982658959,11.34000015258789,2003,2022,,0.21131488927198994,0.9000123350565234,0.23361330943396688
